seed,experiment,variant,metric,value
1337,ablation,S16_eta0.05_softmax_gated,recall_mse,0.32521874
1337,ablation,S16_eta0.05_topk_softmax_additive,recall_mse,0.33622593
1337,ablation,S16_eta0.05_topk_softmax_gated,recall_mse,0.32425323
1337,ablation,S16_eta0.20_hard_top1_additive,recall_mse,0.26180375
1337,ablation,S16_eta0.20_hard_top1_gated,recall_mse,0.29575744
1337,ablation,S16_eta0.20_softmax_additive,recall_mse,0.30836120
1337,ablation,S16_eta0.20_softmax_gated,recall_mse,0.31207386
1337,ablation,S16_eta0.20_topk_softmax_additive,recall_mse,0.26753184
1337,ablation,S16_eta0.20_topk_softmax_gated,recall_mse,0.30134454
1337,ablation,S16_eta0.50_hard_top1_additive,recall_mse,0.47283241
1337,ablation,S16_eta0.50_hard_top1_gated,recall_mse,0.25447229
1337,ablation,S16_eta0.50_softmax_additive,recall_mse,0.30384070
1337,ablation,S16_eta0.50_softmax_gated,recall_mse,0.33709610
1337,ablation,S16_eta0.50_topk_softmax_additive,recall_mse,0.28806210
1337,ablation,S16_eta0.50_topk_softmax_gated,recall_mse,0.29225287
1337,efficiency,baseline,forward_ms,0.57228602
1337,efficiency,alc,forward_ms,0.71267338
1337,efficiency,alc,slowdown_ratio,1.24530978
1337,efficiency,alc,extra_params,992.00000000
2027,core_adaptation,baseline,recall_mse,0.93023813
2027,core_adaptation,alc,recall_mse,0.70052260
2027,core_adaptation,alc_no_write,recall_mse,0.32959077
2027,core_adaptation,baseline,recall_acc,0.03125000
2027,core_adaptation,alc,recall_acc,0.06250000
2027,core_adaptation,alc_no_write,recall_acc,0.06250000
2027,stability,alc,nan_rate,0.00000000
2027,stability,alc,slot_norm_init,0.00000000
2027,stability,alc,slot_norm_final,0.59600484
2027,stability,alc,slot_norm_max,0.74338293
2027,persistence,alc,save_ok,1.00000000
2027,persistence,alc,load_ok,1.00000000
2027,persistence,alc,slot_max_abs_diff,0.00000000
2027,persistence,alc,behavior_max_abs_diff,0.00000000
2027,trainability,interface_trainable,loss_before,0.09013489
2027,trainability,interface_trainable,loss_after,0.07546594
2027,trainability,interface_frozen,loss_eval,0.09013489
2027,language_benchmark,baseline,recall_mse,0.98919368
2027,language_benchmark,alc,recall_mse,0.88250667
2027,language_benchmark,alc_no_write,recall_mse,0.32759646
2027,language_benchmark,baseline,recall_acc,0.00000000
2027,language_benchmark,alc,recall_acc,0.01041667
2027,language_benchmark,alc_no_write,recall_acc,0.02083333
2027,tinyqa,baseline,qa_acc_delay_0,0.03333334
2027,tinyqa,alc,qa_acc_delay_0,0.03333334
2027,tinyqa,alc_no_write,qa_acc_delay_0,0.03333334
2027,tinyqa,baseline,qa_acc_delay_4,0.03333334
2027,tinyqa,alc,qa_acc_delay_4,0.06666667
2027,tinyqa,alc_no_write,qa_acc_delay_4,0.03333334
2027,tinyqa,baseline,delayed_qa_acc,0.03333334
2027,tinyqa,alc,delayed_qa_acc,0.06666667
2027,tinyqa,alc_no_write,delayed_qa_acc,0.03333334
2027,tinyqa,baseline,qa_acc_delay_8,0.03333334
2027,tinyqa,alc,qa_acc_delay_8,0.05000000
2027,tinyqa,alc_no_write,qa_acc_delay_8,0.03333334
2027,tinyqa,baseline,delayed_qa_acc,0.03333334
2027,tinyqa,alc,delayed_qa_acc,0.05000000
2027,tinyqa,alc_no_write,delayed_qa_acc,0.03333334
2027,tinyqa,baseline,qa_acc_mean,0.03333334
2027,tinyqa,alc,qa_acc_mean,0.05000000
2027,tinyqa,alc_no_write,qa_acc_mean,0.03333334
2027,tinyqa,dataset,num_samples,60.00000000
2027,ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.32663679
2027,ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.30526063
2027,ablation,S4_eta0.05_softmax_additive,recall_mse,0.32096878
2027,ablation,S4_eta0.05_softmax_gated,recall_mse,0.30294472
2027,ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.28835648
2027,ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.33865961
2027,ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.23185077
2027,ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.28668392
2027,ablation,S4_eta0.20_softmax_additive,recall_mse,0.28683728
2027,ablation,S4_eta0.20_softmax_gated,recall_mse,0.29852840
2027,ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.31253794
2027,ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.32603657
2027,ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.39289367
2027,ablation,S4_eta0.50_hard_top1_gated,recall_mse,0.25353372
2027,ablation,S4_eta0.50_softmax_additive,recall_mse,0.31656629
2027,ablation,S4_eta0.50_softmax_gated,recall_mse,0.32092404
2027,ablation,S4_eta0.50_topk_softmax_additive,recall_mse,0.29533580
2027,ablation,S4_eta0.50_topk_softmax_gated,recall_mse,0.24125023
2027,ablation,S8_eta0.05_hard_top1_additive,recall_mse,0.30404848
2027,ablation,S8_eta0.05_hard_top1_gated,recall_mse,0.35849044
2027,ablation,S8_eta0.05_softmax_additive,recall_mse,0.26888287
2027,ablation,S8_eta0.05_softmax_gated,recall_mse,0.35834977
2027,ablation,S8_eta0.05_topk_softmax_additive,recall_mse,0.36376384
2027,ablation,S8_eta0.05_topk_softmax_gated,recall_mse,0.26592463
